Crop,State,Season,Area,Rainfall,Temperature,Humidity,Soil pH,Nitrogen,Phosphorus,Potassium,Fertilizer,Yield
Cotton,Punjab,Kharif,3.54,894.1,27.7,53.9,7.27,95.6,69.8,138.7,81.2,2.79
Maize,Tamil Nadu,Kharif,1.65,892.5,16.7,55.2,,169.4,40.3,124.9,206.7,5.41
Cotton,Tamil Nadu,Kharif,3.15,647.1,20.4,63.0,6.89,175.7,47.2,125.8,269.8,2.92
Rice,Gujarat,Kharif,4.37,1395.2,27.1,79.5,6.88,90.3,65.9,97.4,189.3,4.43
Rice,Karnataka,Zaid,1.06,1440.7,26.0,55.3,8.0,221.4,54.4,153.9,67.7,
Pulses,Andhra Pradesh,Zaid,5.71,910.2,26.4,71.5,7.2,40.0,69.4,137.0,209.6,1.56
Maize,Haryana,Zaid,5.59,415.2,24.2,80.8,5.43,171.1,76.9,89.9,77.4,4.67
Sugarcane,Gujarat,Rabi,1.52,833.2,27.2,61.9,6.46,101.2,80.4,119.7,134.3,101.78
Groundnut,Karnataka,Zaid,5.0,752.9,31.1,76.7,6.03,117.4,34.6,144.3,100.3,2.39
Potato,Uttar Pradesh,Rabi,4.75,698.3,23.4,91.7,6.34,125.0,28.5,76.8,135.5,26.28
Groundnut,West Bengal,Zaid,3.42,967.6,31.6,84.8,6.11,118.0,34.1,128.1,200.9,2.64
Cotton,Uttar Pradesh,Zaid,10.94,1651.9,23.0,64.3,6.89,86.9,87.0,81.9,99.5,2.2
Potato,Haryana,Rabi,4.46,1429.5,37.1,,6.68,210.0,58.6,167.6,183.7,28.47
Potato,Gujarat,Zaid,4.28,373.4,24.2,81.4,7.03,126.8,53.7,115.1,136.3,24.45
Pulses,Madhya Pradesh,Zaid,2.04,1328.5,29.6,78.7,8.0,116.1,26.5,136.6,277.2,1.71
Sugarcane,Maharashtra,Rabi,2.64,1176.4,27.1,41.2,6.97,70.1,35.0,105.6,172.3,94.36
Sugarcane,Madhya Pradesh,Rabi,4.32,1110.9,26.3,81.9,7.16,195.8,58.8,145.1,240.9,101.84
Sugarcane,Andhra Pradesh,Rabi,2.83,1133.4,23.6,72.8,8.2,127.5,26.1,105.0,189.1,87.48
Rice,Madhya Pradesh,Kharif,5.81,736.0,23.0,64.8,6.25,161.0,15.0,77.7,100.0,4.26
Wheat,Maharashtra,Rabi,5.87,1412.1,18.4,65.9,,120.7,,140.6,72.3,3.93
Cotton,Karnataka,Kharif,8.38,859.8,27.7,72.6,7.0,173.5,57.7,86.7,259.3,2.65
Cotton,Tamil Nadu,Zaid,3.36,1099.0,30.5,45.8,6.73,129.0,29.1,132.3,158.7,2.47
Sugarcane,Maharashtra,Zaid,1.88,,24.4,92.3,6.09,116.6,79.9,120.3,188.5,77.99
Sugarcane,Gujarat,Rabi,8.59,250.0,29.5,62.7,6.47,69.4,52.7,172.9,268.9,101.92
Wheat,Gujarat,Kharif,5.55,866.3,31.3,65.2,7.72,79.5,29.4,136.8,153.9,3.79
Wheat,Punjab,Kharif,2.03,577.1,27.2,89.7,6.77,123.2,79.1,78.7,76.9,5.24
Groundnut,Haryana,Rabi,2.19,405.9,21.4,62.3,7.81,125.1,15.0,149.6,68.5,3.11
Maize,Madhya Pradesh,Zaid,6.98,752.9,31.5,86.8,6.43,106.3,76.3,30.0,223.3,4.63
Wheat,Uttar Pradesh,Rabi,8.03,566.2,29.3,61.8,6.77,68.1,25.2,96.0,75.8,4.19
Groundnut,Uttar Pradesh,Zaid,2.26,961.0,24.1,75.8,7.05,112.7,45.5,71.0,137.0,2.54
Wheat,West Bengal,Zaid,7.35,1302.5,33.8,72.4,6.81,79.4,51.9,52.4,143.8,3.82
Groundnut,Gujarat,Zaid,2.11,460.0,29.4,74.7,6.32,140.2,45.3,104.9,196.1,2.48
Groundnut,West Bengal,Kharif,1.36,841.2,26.5,60.0,6.79,113.2,50.1,104.8,97.5,2.79
Cotton,Gujarat,Kharif,6.47,1156.0,34.2,74.7,6.75,107.4,24.6,90.7,63.5,2.51
Cotton,Punjab,Zaid,11.14,957.9,37.7,95.0,6.97,64.4,95.8,101.1,144.6,2.73
Pulses,Punjab,Rabi,5.57,629.0,22.6,65.0,5.51,103.5,29.7,97.5,133.9,
Maize,Tamil Nadu,Zaid,2.05,624.7,30.7,64.5,6.37,127.0,28.7,138.0,151.4,4.58
Maize,Uttar Pradesh,Kharif,6.5,819.1,23.6,60.5,6.59,167.3,61.0,112.8,155.1,5.8
Groundnut,Madhya Pradesh,Kharif,5.63,1004.9,32.1,92.0,5.77,100.0,27.9,57.8,173.9,2.93
Cotton,Gujarat,Rabi,8.95,834.3,23.5,81.9,7.05,121.5,37.8,114.5,29.8,2.34
Rice,Maharashtra,Kharif,6.12,676.1,24.1,65.4,6.79,132.8,40.5,52.6,177.3,4.72
Wheat,Tamil Nadu,Kharif,8.52,880.5,35.4,49.7,7.69,92.9,64.8,90.6,151.2,4.5
Maize,Maharashtra,Rabi,4.73,659.7,26.7,69.2,,112.4,72.7,98.9,153.9,5.24
Potato,Punjab,Rabi,4.92,777.7,18.7,60.3,6.63,148.4,49.7,117.1,96.2,28.85
Sugarcane,Gujarat,Rabi,5.55,1257.4,23.9,66.9,6.52,67.4,33.3,169.6,192.5,91.66
Maize,Gujarat,Rabi,5.9,256.9,19.8,71.6,6.6,126.0,81.7,46.5,162.4,5.21
Rice,Maharashtra,Zaid,7.72,759.7,,61.1,6.89,100.8,15.1,136.4,173.5,3.93
Sugarcane,Uttar Pradesh,Rabi,7.3,1290.0,30.9,72.7,7.0,40.1,57.0,168.5,159.5,93.9
Sugarcane,Andhra Pradesh,Kharif,3.23,822.9,29.0,71.0,,198.3,106.3,95.4,143.9,95.25
Maize,Andhra Pradesh,Rabi,5.44,641.2,28.7,76.7,5.76,213.5,41.1,115.5,157.9,
Sugarcane,Tamil Nadu,Zaid,8.29,611.1,21.9,49.4,5.92,130.5,67.0,137.1,74.1,87.04
Rice,Andhra Pradesh,Kharif,4.77,672.8,25.5,64.9,7.65,134.4,86.2,81.3,62.2,4.79
Wheat,Madhya Pradesh,Kharif,3.64,799.1,32.6,56.9,6.89,151.4,54.6,163.4,228.1,4.78
Sugarcane,Gujarat,Kharif,1.38,878.9,21.9,73.4,7.18,87.1,100.7,96.9,76.2,86.45
Sugarcane,West Bengal,Kharif,2.63,486.4,33.5,49.6,7.28,96.2,63.2,126.2,95.6,101.06
Groundnut,Gujarat,Rabi,4.36,582.7,25.7,61.9,6.95,109.0,72.4,48.6,206.0,2.73
Cotton,Haryana,Kharif,10.96,1090.7,21.3,76.9,6.27,103.1,65.6,104.4,129.9,2.48
Rice,Gujarat,Zaid,4.47,1528.8,32.3,55.4,5.6,97.7,39.5,153.0,155.4,3.84
Rice,Uttar Pradesh,Zaid,1.04,725.4,19.8,54.3,6.41,131.0,58.4,119.2,37.4,3.83
Wheat,Karnataka,Kharif,2.2,531.9,22.1,66.9,7.25,197.8,36.9,,122.4,4.61
Pulses,Andhra Pradesh,Zaid,5.3,,21.6,79.7,7.46,127.4,54.8,114.6,119.5,1.56
Groundnut,Punjab,Rabi,5.91,876.1,24.5,74.4,5.05,102.2,78.1,89.6,225.2,2.95
Groundnut,Andhra Pradesh,Kharif,3.01,1246.4,19.4,62.2,6.28,134.1,62.9,153.2,158.2,2.85
Maize,Gujarat,Zaid,3.32,1003.1,23.3,83.3,5.78,83.1,51.8,105.2,44.0,4.11
Groundnut,Tamil Nadu,Zaid,4.06,487.7,28.6,68.0,5.34,136.6,30.1,93.4,88.1,2.55
Groundnut,Maharashtra,Zaid,2.04,1503.9,32.4,76.8,6.61,119.5,50.7,72.3,84.9,2.29
Wheat,Uttar Pradesh,Zaid,4.55,1311.8,23.9,71.8,5.73,81.3,60.9,97.4,125.4,3.51
Maize,West Bengal,Zaid,5.07,380.9,28.6,73.8,6.72,127.8,22.1,87.3,169.9,4.44
Potato,Tamil Nadu,Kharif,3.65,749.8,24.9,75.4,6.87,136.2,68.6,70.7,121.4,26.19
Pulses,Andhra Pradesh,Rabi,1.54,379.0,23.9,75.4,6.41,57.2,64.1,119.7,131.4,1.83
Maize,Andhra Pradesh,Kharif,3.1,250.0,27.4,66.0,7.09,73.8,89.7,126.6,,4.61
Wheat,Haryana,Zaid,9.39,821.7,34.9,71.0,6.94,77.2,37.6,136.2,34.3,3.47
Cotton,Andhra Pradesh,Rabi,7.68,833.7,28.1,69.9,7.02,125.0,61.1,112.2,255.2,2.6
Maize,Uttar Pradesh,Zaid,1.02,962.4,26.6,67.6,7.61,141.8,58.3,45.4,233.3,4.97
Rice,Tamil Nadu,Rabi,6.55,1119.4,22.3,51.3,8.2,143.8,43.7,156.7,57.2,4.38
Cotton,Gujarat,Rabi,4.81,1410.3,33.0,80.3,5.39,40.0,59.3,49.8,82.8,2.3
Wheat,Maharashtra,Rabi,2.69,714.9,25.3,92.2,7.57,100.5,42.9,102.9,164.0,4.05
Potato,Andhra Pradesh,Zaid,3.66,905.6,33.1,75.1,7.73,109.8,49.5,145.4,186.4,25.31
Cotton,Haryana,Rabi,7.72,918.0,28.6,83.3,,40.0,83.2,93.1,229.6,2.8
Groundnut,Punjab,Kharif,5.24,844.1,36.0,85.3,6.98,92.5,31.9,100.3,208.2,3.05
Pulses,Madhya Pradesh,Kharif,2.74,709.0,21.6,77.3,7.66,180.9,46.1,80.1,181.6,1.88
Sugarcane,Tamil Nadu,Zaid,1.01,481.7,21.7,68.6,6.58,134.0,77.3,113.0,164.6,90.31
Pulses,Andhra Pradesh,Zaid,6.66,723.1,39.6,57.6,6.79,126.0,28.1,198.4,125.4,1.47
Sugarcane,Andhra Pradesh,Zaid,7.23,891.5,32.1,51.7,8.2,176.3,78.2,99.4,164.6,93.22
Cotton,Haryana,Kharif,11.18,1010.9,16.4,79.6,6.69,156.4,26.8,141.3,120.3,2.79
Potato,Punjab,Kharif,4.3,829.4,30.0,80.2,6.55,160.2,40.5,110.6,158.1,30.45
Groundnut,Madhya Pradesh,Kharif,5.74,952.7,27.6,80.6,7.34,134.8,45.9,145.7,240.6,3.13
Wheat,Punjab,Rabi,4.66,744.8,25.1,67.1,6.6,172.6,37.9,91.2,222.2,4.28
Pulses,Karnataka,Kharif,2.68,577.4,20.9,80.2,6.76,166.8,78.3,138.3,202.6,1.91
Groundnut,Tamil Nadu,Zaid,3.2,829.8,20.7,79.4,6.2,71.1,33.3,91.2,95.6,2.52
Maize,Andhra Pradesh,Kharif,2.28,1002.9,34.2,64.2,5.72,193.6,81.4,67.4,168.4,5.08
Pulses,Punjab,Rabi,4.98,1022.6,23.8,78.7,6.93,160.8,80.1,102.8,74.1,1.96
Cotton,Madhya Pradesh,Kharif,6.33,629.7,19.3,75.4,5.97,70.7,41.0,88.1,231.8,2.4
Rice,Gujarat,Rabi,1.05,837.4,36.8,74.5,6.93,114.4,38.2,73.3,187.7,4.3
Cotton,Karnataka,Zaid,7.09,499.2,23.8,48.9,6.42,100.2,59.6,151.4,98.7,2.48
Potato,Tamil Nadu,Kharif,0.89,851.0,28.7,70.3,6.93,40.0,35.3,75.9,20.0,28.48
Cotton,Haryana,Kharif,2.81,724.0,31.1,63.1,6.41,70.7,31.9,108.3,161.6,2.74
Rice,Andhra Pradesh,Rabi,2.61,739.5,36.1,39.1,5.62,160.8,61.3,137.0,137.2,4.64
Wheat,Madhya Pradesh,Rabi,3.61,791.6,30.2,89.1,7.6,135.0,53.3,193.2,223.9,4.53
Wheat,Gujarat,Zaid,7.41,763.1,29.6,76.2,6.12,123.3,34.5,135.0,157.2,3.5
Maize,Haryana,Kharif,5.94,309.3,31.2,73.3,6.43,134.1,47.1,129.6,188.3,5.68
Groundnut,Uttar Pradesh,Rabi,2.6,776.0,19.9,93.7,6.54,79.0,71.9,32.8,20.0,2.63
Cotton,Andhra Pradesh,Kharif,2.04,1120.7,15.0,78.5,7.07,144.1,57.8,127.8,96.7,2.5
Rice,Punjab,Zaid,3.93,1026.3,37.1,58.8,6.67,167.8,92.7,64.3,181.1,4.82
Sugarcane,Haryana,Zaid,8.09,270.4,34.9,71.9,6.2,41.7,80.0,142.2,172.0,81.95
Sugarcane,Madhya Pradesh,Kharif,7.18,928.0,21.4,45.1,6.45,130.9,21.6,135.9,142.7,89.02
Sugarcane,Tamil Nadu,Rabi,2.72,595.7,23.1,85.6,7.06,83.9,77.1,135.4,90.8,101.63
Sugarcane,Madhya Pradesh,Kharif,1.52,490.8,17.1,55.7,8.17,135.4,38.4,139.5,232.0,85.99
Sugarcane,Uttar Pradesh,Zaid,1.36,981.5,31.0,84.3,5.91,93.9,67.4,103.0,109.2,81.9
Potato,Karnataka,Rabi,2.79,481.9,30.4,73.3,8.2,72.0,63.3,90.1,48.4,24.19
Maize,Karnataka,Kharif,2.69,1233.8,23.4,72.8,7.08,175.9,73.3,98.0,180.6,4.86
Groundnut,Tamil Nadu,Zaid,5.12,1276.4,29.7,79.1,6.9,139.4,67.3,127.2,164.9,2.62
Maize,West Bengal,Kharif,3.23,990.6,27.6,70.4,5.79,43.8,71.0,131.5,135.2,5.36
Wheat,Uttar Pradesh,Zaid,3.08,921.0,23.9,69.7,6.47,176.1,56.4,99.9,180.8,4.46
Wheat,Andhra Pradesh,Kharif,4.91,1125.3,31.0,71.8,5.5,120.0,15.0,149.0,49.1,3.78
Pulses,Gujarat,Rabi,1.58,353.6,35.8,69.5,7.33,121.6,60.8,81.7,130.8,
Cotton,Punjab,Kharif,5.04,1040.8,27.8,65.0,8.2,169.0,37.0,147.0,147.8,2.98
Sugarcane,Haryana,Kharif,3.69,911.9,31.8,70.6,6.28,86.8,80.3,120.5,154.4,108.07
Maize,Haryana,Zaid,6.54,549.6,24.4,80.4,6.77,68.2,83.7,64.8,179.6,5.07
Cotton,Uttar Pradesh,Kharif,4.15,553.4,20.4,61.1,5.42,114.2,49.8,151.8,140.4,2.53
Wheat,Uttar Pradesh,Kharif,5.26,1139.9,32.0,84.1,7.29,155.4,15.4,64.9,184.7,4.7
Cotton,Uttar Pradesh,Rabi,7.31,510.4,23.8,77.1,,73.2,59.3,124.8,234.8,2.92
Maize,Punjab,Zaid,4.96,320.7,24.5,66.5,6.35,121.6,38.9,136.0,216.0,5.0
Cotton,Haryana,Zaid,7.88,1027.8,,70.2,7.15,127.4,56.9,60.7,150.4,2.18
Maize,West Bengal,Zaid,2.81,1002.7,31.0,56.8,6.61,107.0,57.7,145.6,86.2,5.13
Pulses,West Bengal,Kharif,5.86,957.3,15.0,44.7,7.16,153.1,23.5,104.7,84.0,1.93
Groundnut,Madhya Pradesh,Rabi,4.99,396.1,27.2,65.9,6.09,117.2,15.0,130.3,114.1,2.79
Potato,Punjab,Rabi,1.97,668.4,27.8,44.0,6.58,56.0,24.8,113.5,153.7,29.97
Pulses,Madhya Pradesh,Zaid,3.76,1007.6,32.1,62.5,6.78,79.5,70.2,150.6,122.6,1.48
Cotton,Madhya Pradesh,Rabi,5.27,739.3,23.1,79.7,5.81,128.3,52.1,62.0,196.3,2.3
Cotton,Andhra Pradesh,Rabi,8.05,523.3,23.9,72.4,5.81,132.4,75.5,56.6,212.1,2.83
Maize,Andhra Pradesh,Kharif,5.69,953.7,26.4,82.7,7.19,129.2,46.8,91.4,220.8,5.42
Potato,Karnataka,Rabi,4.3,1148.2,19.6,48.9,5.7,132.8,53.7,121.3,200.1,
Cotton,Gujarat,Rabi,7.98,963.3,30.1,83.6,6.96,132.3,67.1,126.6,144.0,2.53
Pulses,Karnataka,Zaid,5.61,467.3,30.7,69.8,,121.8,85.3,114.0,227.8,1.58
Potato,Madhya Pradesh,Zaid,3.7,875.3,30.1,55.0,7.41,88.4,57.7,58.1,110.5,21.18
Groundnut,Punjab,Kharif,5.71,717.9,30.5,35.0,6.61,109.1,31.4,115.5,147.9,3.01
Pulses,Karnataka,Rabi,6.04,637.1,22.1,33.5,6.74,54.1,79.5,107.6,,1.74
Sugarcane,Gujarat,Kharif,2.78,526.9,27.3,61.2,6.79,155.2,96.8,51.6,171.7,112.65
Rice,Haryana,Kharif,7.25,751.4,28.3,75.0,6.79,145.8,82.0,96.4,159.0,4.78
Pulses,Gujarat,Zaid,5.15,834.2,26.4,,6.82,77.8,,44.3,178.0,1.94
Potato,Karnataka,Zaid,4.33,403.0,24.2,63.6,6.95,41.7,48.9,149.9,158.9,22.27
Wheat,West Bengal,Zaid,1.04,790.5,32.7,67.5,7.08,112.9,15.0,102.8,167.7,3.71
Potato,Karnataka,Zaid,3.12,781.3,30.3,68.8,5.55,160.3,79.9,90.1,165.2,24.29
Maize,Uttar Pradesh,Rabi,3.3,1011.1,18.2,89.9,6.25,61.9,58.5,51.4,150.9,5.31
Cotton,West Bengal,Zaid,8.1,1191.2,29.4,83.5,8.2,104.0,52.7,60.3,200.1,2.34
Maize,West Bengal,Rabi,6.94,518.4,28.9,48.4,7.57,68.9,45.7,,186.0,5.19
Sugarcane,Karnataka,Zaid,8.04,789.2,33.5,86.5,6.4,202.6,96.4,105.7,227.5,86.07
Maize,Haryana,Rabi,1.31,452.4,21.4,48.1,5.74,66.4,50.7,167.3,190.5,5.72
Cotton,Karnataka,Kharif,6.07,903.9,,71.4,6.24,165.3,49.0,131.6,154.0,2.67
Wheat,Andhra Pradesh,Zaid,3.82,1158.1,32.1,68.7,7.03,97.7,64.4,120.1,49.9,3.61
Rice,Uttar Pradesh,Zaid,1.75,1005.3,22.3,75.6,6.76,140.8,62.9,110.8,205.4,4.43
Pulses,Tamil Nadu,Rabi,5.28,724.4,29.5,48.0,5.9,71.0,65.3,82.8,118.4,1.74
Pulses,Gujarat,Zaid,6.64,870.5,40.0,65.7,7.37,54.2,29.5,30.0,204.1,1.4
Rice,Maharashtra,Kharif,3.04,1126.4,25.2,91.6,7.07,63.1,40.5,120.0,106.6,4.42
Sugarcane,Maharashtra,Zaid,1.23,479.6,31.8,69.3,8.2,62.6,47.1,105.8,170.8,84.67
Wheat,Uttar Pradesh,Rabi,7.78,584.0,27.6,70.8,6.96,225.4,22.7,151.4,45.0,4.61
Potato,Gujarat,Kharif,3.08,754.8,28.0,70.0,6.97,114.0,31.1,61.5,216.4,28.91
Maize,West Bengal,Zaid,1.04,605.0,23.5,76.4,6.2,85.0,49.7,106.7,184.4,4.77
Potato,Karnataka,Kharif,4.5,857.2,35.9,69.0,6.7,81.1,65.0,142.4,120.7,25.67
Rice,Maharashtra,Kharif,6.5,932.6,28.9,70.0,6.47,129.4,48.5,95.7,184.8,4.26
Maize,Uttar Pradesh,Zaid,2.79,1005.0,30.6,76.8,5.61,124.7,53.0,91.8,138.1,5.3
Wheat,Uttar Pradesh,Rabi,9.88,550.0,25.5,71.7,7.02,118.8,62.4,151.9,132.7,4.67
Sugarcane,Karnataka,Zaid,5.3,607.1,20.5,53.3,8.2,147.3,34.4,30.0,198.2,85.58
Wheat,Karnataka,Kharif,3.54,1257.5,25.8,61.8,6.54,111.1,29.1,107.5,118.9,4.41
Sugarcane,Gujarat,Rabi,2.36,787.8,20.1,66.9,6.65,157.0,45.8,102.7,148.8,96.32
Rice,Haryana,Zaid,4.43,1077.2,24.4,80.3,7.07,110.8,66.5,69.9,243.6,4.75
Maize,Madhya Pradesh,Zaid,3.88,463.8,38.8,67.3,6.64,115.4,39.8,100.5,186.8,4.31
Sugarcane,Uttar Pradesh,Rabi,5.86,795.1,26.3,55.5,7.44,78.4,85.4,110.3,110.5,104.87
Groundnut,Gujarat,Zaid,2.98,415.1,25.9,82.2,7.52,55.3,74.2,117.1,173.2,2.18
Cotton,Tamil Nadu,Zaid,4.3,985.2,24.4,77.6,6.38,108.3,29.2,148.2,20.0,2.06
Wheat,Maharashtra,Kharif,7.68,851.4,26.8,48.9,6.91,40.0,50.7,31.2,216.8,4.84
Groundnut,Punjab,Rabi,5.33,964.8,31.4,73.4,6.9,57.6,55.8,,181.1,2.93
Wheat,Haryana,Kharif,4.04,991.3,24.0,71.7,6.01,79.5,28.5,117.1,232.1,4.56
Cotton,Gujarat,Zaid,8.92,342.1,29.9,62.8,7.45,118.8,56.7,40.5,61.6,2.0
Groundnut,Haryana,Kharif,2.25,1121.3,23.7,95.0,7.0,96.9,53.1,37.6,90.8,3.1
Maize,Tamil Nadu,Rabi,3.01,810.2,32.2,73.8,6.24,89.4,48.8,161.2,218.0,5.58
Potato,Gujarat,Zaid,4.55,682.8,22.2,52.5,6.24,119.2,58.2,111.4,156.0,24.07
Sugarcane,West Bengal,Kharif,7.8,473.8,25.2,88.3,6.75,165.2,58.1,85.7,190.0,108.63
Potato,Maharashtra,Zaid,2.35,399.7,29.2,77.6,6.78,61.2,72.8,155.5,148.9,23.07
Pulses,Punjab,Rabi,4.26,455.5,29.2,68.6,6.28,103.6,31.4,74.0,120.0,1.92
Sugarcane,Madhya Pradesh,Rabi,3.02,896.9,26.3,71.0,4.91,141.6,40.7,144.8,124.2,92.48
Wheat,Tamil Nadu,Rabi,7.15,1102.7,29.2,83.4,7.9,68.7,57.9,101.2,173.7,4.03
Wheat,Karnataka,Zaid,8.91,977.5,23.7,82.2,6.03,114.8,37.4,64.3,118.8,3.93
Cotton,Andhra Pradesh,Rabi,5.74,866.8,33.0,79.4,6.89,119.4,81.2,91.9,134.0,2.62
Sugarcane,Karnataka,Zaid,5.67,787.5,25.9,65.3,6.2,207.3,59.4,59.0,170.2,85.06
Cotton,Andhra Pradesh,Rabi,2.72,1359.3,25.3,62.1,6.07,113.8,44.1,53.3,147.9,2.51
Maize,Gujarat,Zaid,5.76,995.0,20.0,77.8,6.55,128.1,17.3,,118.5,4.27
Sugarcane,Uttar Pradesh,Rabi,8.52,597.5,36.5,71.0,4.8,132.8,47.3,142.5,98.2,98.15
Groundnut,Madhya Pradesh,Kharif,5.39,345.0,30.0,62.8,6.26,120.7,61.9,65.4,159.1,2.9
Sugarcane,Punjab,Rabi,7.76,1032.4,21.3,52.1,5.95,113.4,15.0,110.2,203.4,114.09
Wheat,Karnataka,Rabi,8.73,1357.6,26.4,52.7,7.02,154.9,47.6,91.5,136.8,4.12
Potato,Punjab,Kharif,3.79,859.6,32.0,74.9,6.26,103.1,25.7,159.5,145.8,30.2
Potato,Andhra Pradesh,Zaid,1.77,745.8,25.6,62.6,6.03,180.7,70.8,131.0,,22.72
Potato,Haryana,Zaid,2.43,823.4,34.1,54.8,6.16,57.7,67.4,131.7,147.0,29.82
Sugarcane,Punjab,Zaid,8.92,754.2,32.9,95.0,6.28,156.8,86.0,117.8,205.2,100.68
Sugarcane,Maharashtra,Zaid,8.64,1155.6,19.3,73.1,6.56,104.3,78.3,112.3,121.2,91.94
Rice,Tamil Nadu,Rabi,6.97,674.2,30.7,45.9,6.72,163.7,69.9,105.4,,4.99
Potato,Tamil Nadu,Rabi,2.31,1150.8,31.8,78.5,6.13,59.8,30.4,67.4,165.2,25.33
Wheat,West Bengal,Kharif,8.1,892.0,32.7,61.0,5.78,120.5,43.3,66.6,171.9,4.39
Groundnut,Karnataka,Kharif,5.01,1309.1,17.1,53.9,6.21,103.2,56.0,71.8,161.9,2.53
Cotton,Gujarat,Zaid,11.19,1310.1,33.4,52.6,6.89,169.9,35.0,101.7,142.9,2.3
Wheat,Andhra Pradesh,Zaid,8.13,618.8,32.0,70.0,8.02,108.5,29.2,67.9,54.5,3.79
Sugarcane,Maharashtra,Rabi,8.08,473.6,33.3,48.9,6.35,151.8,87.2,149.4,20.0,98.8
